9:25 AM - 11 Dec 2015|Racing way Dubai India @iptl pic twitter com OUgsbQtPhw|2.3K|5.9K
4:02 AM - 10 Dec 2015|The difference Humans Dead The Dead cannot thank family friends fans support prayers|79|52
2:50 AM - 10 Dec 2015|@iamsrk one d actors A-class modern philosophical genius speeches witty liners pathbreaking|3|2
2:46 AM - 10 Dec 2015|Kindly RT blind ecstatic celeb reactions Salman's acquittal everyone knows whose opinions never take seriously|15|8
2:38 AM - 10 Dec 2015|@RoflGandhi_ Roadside people mumbai tonight onwards #SalmanVerdict #SalmanAcquitted pic twitter com vgejTR3r9G|139|101
2:39 AM - 10 Dec 2015|If everything gets turned head change perspective- handstand rebuild Excerpt speech IIM Alumni tom|3.1K|6.1K
2:27 AM - 10 Dec 2015|Its done thing india justice rarely done underprivileged n fans mixup real n reel salman bit much|1|0
2:12 AM - 10 Dec 2015|Hey die hard abusive fans troll celebrities doesn't mean opposite party We politicians|43|30
2:18 AM - 10 Dec 2015|One day Einstein WILL prove SUV stationary pavement came it's tyres alongwith people sleeping|104|57
12:16 AM - 10 Dec 2015|May shd one simple rule rich people defended reputed senior advocates innocent even guilty Saves time|102|49
1:41 AM - 10 Dec 2015|Indian judicial system golden rule 'what happened 2002 stays 2002' #SalmanVerdict #KakaVerdict|860|498
1:44 AM - 10 Dec 2015|If want justice Hit Run case tell Shivraj Singh Salman knows Vyapam scam|89|61
12:21 AM - 10 Dec 2015|A picture court hearing Salman Khan going #SalmanKhan pic twitter com bXQN1PkPFr|253|136
1:09 AM - 10 Dec 2015|We can't prove Salman Khan drunk THEN WHO WAS Woh blackbuck yaad hai Itna drunk tha bhai ki gun ke saamne aa gaya tha|98|105
1:12 AM - 10 Dec 2015|Salman khan next James Bond License Kill|166|126
12:12 AM - 10 Dec 2015|Breaking Bombay High Court acquits #SalmanKhan 2002 hit run case http dnai d4ky|14|23
8:33 PM - 9 Dec 2015|The MOST magical 'Gerua Moment' CNWK U missed n @TheFarahKhan @WhoSunilGrover @preeti_simoes pic twitter com u3kdwTDxRQ|171|252
11:17 PM - 9 Dec 2015|It's good day chat Come I'll see 30 mins #5YearsOfRanveerSingh|273|871
8:54 PM - 9 Dec 2015|Unseen pic Fawad Khan shooting @pepsipakistan pic twitter com Dak9OarFE1|16|29
11:01 PM - 9 Dec 2015|The Trump strong one https twitter com chetan_bhagat status 674804237830721536|52|106
10:30 PM - 9 Dec 2015|#Christmas gift want pic twitter com 05IZiyblQv|6|6
10:51 PM - 9 Dec 2015|How wonderful thank much sweet surprise @Team_RanveerS https www facebook com RanveerSinghOfficial videos vb 819736761387920 1174681535893439 type 2 theater #5YearsOfRanveerSingh|271|705
8:56 PM - 9 Dec 2015|EXCLUSIVE FAWAD KHAN FOR WEEKENS MAGAZINE pic twitter com prrp1hUXvD|15|16
8:58 AM - 9 Dec 2015|Shah Rukh Khan I Dilwale Kajol 9 Days For Dilwale http www hindustantimes com bollywood shah-rukh-khan-is-why-i-did-dilwale-kajol story-TjvihLg9Rjbsy7zuc2JqFO html pic twitter com o3mI94q7nL|17|20
11:03 AM - 9 Dec 2015|Classy King We Love You SRK pic twitter com TUkysXL6wZ|171|114
10:47 AM - 9 Dec 2015|#WeLoveYouSRK 8 Days For Dilwale pic twitter com b9kGedFBuL|165|139
12:14 AM - 9 Dec 2015|RT If Excited watch @iamsrk @KajolAtUN #CNWK @KapilSharmaK9 9 Days For Dilwale pic twitter com FDmTWRLZTI|86|96
8:37 AM - 9 Dec 2015|@iamsrk @BeingSalmanKhan shoot #BiggBoss9 promo Mehboob studios yestarday @SRKUniverse pic twitter com iGntV03yJC|23|28
1:53 AM - 7 Dec 2015|Heartmelting Scene ever saw Movie Rahul Meets Anjali Again - Kuch Kuch Hota Hai 1998 @iamsrk @kajolAtUN pic twitter com PoKqRSJHcA|82|86
7:49 AM - 9 Dec 2015|Audrey Hepburn The women era admirable trendsetters pic twitter com QhtKY2i1S7|35|32
1:10 AM - 9 Dec 2015|Did know @iamsrk became first Bollywood actor appear British show #InBritainThisMorning RT he's favourite|315|207
7:10 AM - 9 Dec 2015|Saw beautiful Sunset Mumbai long Loved colours grading sky pic twitter com vCcaBpmenb|1|5
6:53 AM - 9 Dec 2015|A Christmas Header @sabtau @Renu_258 pic twitter com LVz1EiPf8s|9|17
1:51 AM - 9 Dec 2015|My new christmas edits #MarryChristmas @_fawadakhan_ pic twitter com Z4AuwrE7HO|8|12
6:21 AM - 9 Dec 2015|This @iamsrk @BeingSalmanKhan give us best #selfie year How many RTs get pic twitter com 8kMDSa6flv|473|709
2:19 AM - 9 Dec 2015|@iamsrk I hope get pic Fawad Khan FilmfareME 5 years celebration Dubai|2|1
1:31 AM - 9 Dec 2015|After many requests #FawadKhan fans pictures hetes another one pic twitter com V0KYlu45vm|16|19
2:22 AM - 9 Dec 2015|Exclusive @iamsrk @BeingSalmanKhan chat coffee yesterday Bigg Boss promo shoot pic twitter com Yls2JPvREz|8|9
12:31 AM - 9 Dec 2015|The dashing Fawad Khan burned cover last week Republic Omar Farooq http fb 6RwDOuDuD|4|3
2:27 AM - 9 Dec 2015|Just 9 days go #Dilwale coming rock world @iamsrk @kritisanon @Varun_dvn @KajolAtUN @bomanirani pic twitter com 21uKOn1M2o|5|8
2:30 AM - 9 Dec 2015|@imeandmyzelf @jiteshpillaai Yes Jitesh Sir We would love picture Heartthrob Khan And Superstar Khan Together|2|0
1:45 AM - 9 Dec 2015|Who actor @S1dharthM RT give us name pic twitter com Uf6bGE3k1E|15|17
1:36 AM - 9 Dec 2015|I always liked picture Kinda Gerua black white pic twitter com v2pqMsVIgd|4.3K|10K
1:30 AM - 9 Dec 2015|#FilmfareME Why love #FawadKhan I buying copy today pic twitter com p8WRXyfXOM|8|15
10:22 PM - 8 Dec 2015|#FawadKhan rehearsal #Warid TV ADD How many likes girls Get details Package http goo gl lVph0u pic twitter com FRheuEEZSK|21|27
11:00 PM - 8 Dec 2015|When someone touches neck pic twitter com 5qTa8yMYf5|486|547
8:59 PM - 8 Dec 2015|@VishalDadlani What PM2 5 Pollution Really Means And What It Doing To You And Your Kids - http thelogicalindian com story-feed awareness what-pm2-5-pollution-really-means-and-what-its-doing-to-you-and-your-kids|18|18
9:21 PM - 8 Dec 2015|As rule never never never get debate social media Reason drowned trolls voices Also good sanity|17|29
9:25 PM - 8 Dec 2015|Rani Aditya Chopra become proud parents baby girl named Adira Congratulations|446|1.1K
8:42 PM - 8 Dec 2015|India's TV industry concentrating intelligent programming Indians always pic twitter com TtRi2qJxEZ|13|10
5:44 PM - 8 Dec 2015|Snapshot RJ Archana KING KHAN BMW interviewed Dilwale @iamsrk @SRKUniverse 9 Days For Dilwale pic twitter com 9Ho6gRRZtL|19|20
3:22 PM - 8 Dec 2015|really places heart even know exist love child pic twitter com MutKos4dAz|5.2K|15K
3:34 PM - 8 Dec 2015|Exhausted Sinused Fevered A good nights sleep may take care Only problem enough nite left 2 make good Pill Pillow|2.6K|6.1K
5:18 AM - 8 Dec 2015|This cannot said enough time please applaud two people began @chennairainsorg @sowmyarao_ @karthikb351|85|46
9:48 AM - 8 Dec 2015|Don't understand Donald Trump guy Muslims Is running President America Chief Minister Gujarat runs|285|216
9:52 AM - 8 Dec 2015|Shashanka reworking B4B script Fawad board http m hindustantimes com bollywood bollywood-s-big-walk-out-when-stars-leave-films-midway story-eSYPaiT3CwniSsyfjdJfXO html|5|5
8:58 AM - 8 Dec 2015|Can't contain excitement anymore #10DaystoDilwale The countdown begun All best @iamsrk @KajolAtUN pic twitter com VwkW0gLHot|246|264
7:06 AM - 8 Dec 2015|Whoaaaaaaaaaaaa https twitter com KKKG_TUMBLR status 674209947098349568|2|1
7:01 AM - 8 Dec 2015|My idea gym pic twitter com 40hp220Ria|611|651
5:28 PM - 7 Dec 2015|I send u heart beautiful rendition Muah https twitter com mitublange status 673767805867560960|2.1K|4.5K
4:30 AM - 8 Dec 2015|Fawad Khan benchmark dapper man The classiest man ever #GiovaniMan #FawadKhan http www giovani co storelocator pic twitter com 7uVK92MduU|11|11
6:01 PM - 7 Dec 2015|Well well well @_fawadakhan_ u know grumpy u look sexier gets Ur killing pic twitter com HHMBpSi864|6|10
7:24 PM - 7 Dec 2015|Fawad Khan Republic Omar Farooq Autumn Winter Collection 3 pic twitter com NdfQAWOJdL|6|22
7:21 PM - 7 Dec 2015|Fawad Khan Republic Omar Farooq Autumn Winter Collection 2 pic twitter com KvyMpqyRah|7|10
7:16 PM - 7 Dec 2015|Fawad Khan Republic Omar Farooq Autumn Winter Collection pic twitter com 0ycMmC4Z79|7|7
4:30 PM - 7 Dec 2015|There's nothing dangerous man charm #FawadKhan #Collage pic twitter com N3HakiWDNC|10|24
10:29 PM - 7 Dec 2015|For kind consideration @imeandmyzelf https twitter com mampi_gupta status 674112563748073473|3|4
7:31 PM - 7 Dec 2015|@NSaina - @iamsrk biggest fan Thank REAL #Dilwale Hear air morning 8 30 pic twitter com KOXlreOGNP|276|357
7:44 PM - 7 Dec 2015|Watching interviews SRK Kajol #Dilwale promotions There much natural warmth n rapport without resorting cheap stunts|6|1
11:15 AM - 7 Dec 2015|Fawadians Vote 5 awaited films 2016 http www indicine com movies bollywood top-10-most-awaited-2015-films-in-bollywood|3|1
11:04 AM - 7 Dec 2015|#MumbaiLocalIn3Words Ek Churchgate return|6|12
10:15 AM - 7 Dec 2015|@WeAreMumbai #MumbaiLocalIn3Words Dhakka mat outrage erupts fight breaks|3|2
10:21 AM - 7 Dec 2015|Thoda Adjust Karo #MumbaiLocalIn3Words|5|2
10:28 AM - 7 Dec 2015|This sparta #MumbaiLocalIn3Words|24|27
11:09 AM - 7 Dec 2015|#MumbaiLocalIn3Words Yeh Firstclass Hain|9|5
11:01 AM - 7 Dec 2015|youre favorite hello hardest goodbye pic twitter com V6lOdzf7RL|1K|1K
7:48 AM - 7 Dec 2015|We miss u #FawadKhan Hope u miss us pic twitter com gCO6k8LTEk|8|16
5:58 AM - 7 Dec 2015|SRK donates 1cr Chennai flood victims waiting PM Kher's water March flooded streets|620|337
6:02 AM - 7 Dec 2015|Heartthrob millions Our choice #ManCrushMonday - #FawadKhan He made Bollywood http ift tt 1OdFTnO pic twitter com U24p4ABlLL|12|13
3:41 AM - 7 Dec 2015|Please read heartbreaking scary thread https twitter com anantha status 673004676137140224|17|4
4:00 AM - 7 Dec 2015|@iamsrk contributes 1 crore Chennai Flood Rescue pic twitter com RpaveCFMsw|465|388
1:14 AM - 7 Dec 2015|A beautiful sketch King SRK @iamsrk #Raees Thanks @Desi2wins @SRKUniverse 11 Days For Dilwale pic twitter com fB5YONgPcW|11|9
1:19 AM - 7 Dec 2015|In early 2014 I became #FawadKhan fan article available http www pakistanimodels pk fawad-khan-cashing-his-look|3|2
10:32 PM - 6 Dec 2015|UNSEEN PICTURES #ZaroonJunaid #KashafMurtaza @_fawadakhan_ @sanammodysaeed pic twitter com Mfn26vNZTA|5|7
6:31 PM - 6 Dec 2015|Very well said https twitter com arunvirmani status 673659896512970752|2|2
11:44 AM - 6 Dec 2015|One popular celebs visited Chak89 year @_fawadakhan_ #FawadKhan nice guy pic twitter com 8yWPnLJacA|20|28
3:27 AM - 3 Dec 2015|Meri subah ho tumhi aur tumhi shaam Ho My favourite song Dilwale Hope u like much https twitter com MayankTandon115 status 672372664892301312|4.2K|8.3K
10:28 AM - 6 Dec 2015|Fawad chai ka cup always special #Zarroon #Kashaf #ZindagiGulzarHai pic twitter com XwM1dRTJhD|11|13
8:45 AM - 6 Dec 2015|WTF happening pic twitter com G0wpz2kDJc|15|19
9:03 AM - 6 Dec 2015|Bhakto ke reaction 1 When Congress wali Sarkar engages talks Pak 2 When BJP wali Sarkar engages Pak pic twitter com QmxteB8mLz|870|497
8:59 AM - 20 Nov 2015|Ask non-indian ever watched Bollywood movies you're guaranteed either get K3G Kuch Kuch Hota Hai answer|56|27
8:39 AM - 6 Dec 2015|Look reaction He magical pic twitter com 1SXu2aJOUA|3|3
8:12 AM - 6 Dec 2015|How dare Aamir Only Anupam opinion whether Aamir opinion https twitter com moviesndtv status 673354625961988096|716|476
7:02 AM - 6 Dec 2015|In important news India beat Netherlands 3-2 shootout win Bronze Medal Hockey World League Yay|144|94
5:33 AM - 6 Dec 2015|In important national news Indian women's hockey team qualifies Rio 2016 Olympics first time almost 35 years|608|327
7:08 AM - 6 Dec 2015|The Only Ruler - Shah Rukh Khan @iamsrk pic twitter com 4VOtZhna1z|7|9
7:30 AM - 6 Dec 2015|@AllIndiaBakchod damn bae pic twitter com Sm0tvNVm2K|127|111
6:33 AM - 6 Dec 2015|Unseen Birthday boy's pic goa #FawadKhan pic twitter com ECkiyOZw2p|20|63
3:52 AM - 6 Dec 2015|Holy fuck CBFC wanted words like Indian Figure Sarkaar muted WTF going http www thequint com entertainment 2015 12 04 what-the-cbfc-didnt-want-you-to-hear-in-angry-indian-goddesses|129|88
4:30 AM - 6 Dec 2015|Bandgalas never looked uber stylish #GiovaniMan Fawad Afzal Khan's charisma adds oomph factor look pic twitter com aeLacTz0cf|26|35
2:50 AM - 6 Dec 2015|My time fav scn Fawad luk lovely baby @sabtau @Myself_SRI @1001_monika @sarakif65 @leopearlsays @i__Nimk00 pic twitter com NcYNLc3kSO|12|15
4:17 AM - 6 Dec 2015|Love #FawadKhan pic twitter com 4M0Ns7AArV|3|17
11:06 PM - 5 Dec 2015|#climatechange Let's something All us NOW @TimesNow @TOIMumbai @AnupamPkher @FarOutAkhtar pic twitter com H5jdG8laUi|123|196
11:48 PM - 5 Dec 2015|Was kidding--Took compliment Will throw 'researchable' stuff way https twitter com iamsrk status 673404189049937920|135|158
10:59 PM - 5 Dec 2015|Work hit track bro can't wait hear https twitter com amaalmallik status 673242137278996481|292|853
11:06 PM - 5 Dec 2015|So fawad might B4B https twitter com pinkvilla status 673381784525127680|1|1
11:05 AM - 5 Dec 2015|Best 45 minutes spent ages Shah Rukh Khan Kajol magic https twitter com CrazyyyBird status 673204792664068096|3|2
9:23 AM - 4 Dec 2015|Matrimonial ads Delhi soon Wanted fair tall cultured girl odd number plate IIT IIM Manglik boy even plates|146|72
11:21 AM - 5 Dec 2015|Dilwale SRK Kajol - Stills http kkkg tumblr com post 134603536504 source http dilwale ooo pic twitter com Nx0w2T6bki|84|79
11:24 AM - 5 Dec 2015|Dilwale SRK - Stills http kkkg tumblr com post 134603857674 source http dilwale ooo pic twitter com Y6ie6ooWrT|31|24
11:13 AM - 5 Dec 2015|Dilwale #SRKajol pic twitter com zPSuDRrevW|74|68
2:26 AM - 5 Dec 2015|SRK's 30-minutes Chak De kinda speech low phase #KKR fondest memory superstar #CheekySingles|435|455
10:05 AM - 5 Dec 2015|Latest pic fawad khan yesterday pakistan pic twitter com A6MHlg0Ulm|31|85
7:30 AM - 5 Dec 2015|D Delhi D dapper D Don miss Dilwale logo phone cover Damn I marketing genius ha ha pic twitter com 7P1oig8lQ4|6.6K|17K
8:42 AM - 5 Dec 2015|OH MY GOD SRK-KAJOL pic twitter com ZsnSkaBaiN|17|9
6:48 AM - 5 Dec 2015|Missing u #FawadKhan pic twitter com FddE0MbO8a|7|16
4:42 AM - 5 Dec 2015|Priceless https twitter com bollywood_life status 673118375892029442|3|4
11:55 PM - 26 Nov 2015|@sabtau @Renu_258 @mampi_gupta @1001_monika @sanammodysaeed kia ye wali nhej di thi main ne pic twitter com LKbn1cgDuG|13|17
1:56 AM - 5 Dec 2015|Photographer captures people reactions told beautiful http tribune com pk story 1004366 photographer-captures-peoples-reactions-when-told-they-are-beautiful pic twitter com dH9vQuLCCW|7|6
11:39 PM - 4 Dec 2015|Higher purpose doesn greater import Highest purpose purity wotever u heart physical capacity|3.6K|7.1K
10:00 PM - 4 Dec 2015|If buy flat new Lodha building Karishma Bhupati Manish Malhotra come play Downton Abbey pic twitter com 1QkbKkrhbx|44|128
5:19 PM - 4 Dec 2015|13 Days For Dilwale Get ready witness EPIC-ness pic twitter com iBpOi90SZv|16|12
5:23 PM - 4 Dec 2015|Relationships succeed shatter thread linking entire framework either pulls together unravels #Dilwale|4.6K|9K
5:58 AM - 2 Dec 2015|And could I add nice man #ShahRukhKhan https twitter com SkyNews status 671977427250372608|324|263
9:57 AM - 4 Dec 2015|@_fawadakhan_ When I miss I stare pictures smile pic twitter com AtVBzpAAJy|1|6
7:33 AM - 4 Dec 2015|Irritating Trend https twitter com financialxpress status 672783290571468802|18|23
4:58 AM - 4 Dec 2015|Some #BTS fun upcoming shoot #FawadKhan #Republic @republicbyomarfarooq @_fawadakhan_ pic twitter com S0kq4KAHca|23|35
5:08 AM - 4 Dec 2015|Xperience #JanamJanam new way Bollywood first 360 degree video This coolest thing I hav done techwise https youtu yQAWFl3X2aQ|3.4K|6.3K
5:07 AM - 4 Dec 2015|https www instagram com p -3tVWLLOZp Video #BTS upcoming shoot#Republicomarfarooq #collection2015 Hot hell #FawadKhan|1|1
4:09 AM - 4 Dec 2015|Photoshopping politically correct term technique merging two pictures https twitter com pib_india status 672744201331671040|128|56
2:42 AM - 4 Dec 2015|Details important https twitter com anirchoudhury status 672720436195557376|8|4
9:42 PM - 3 Dec 2015|Im convinced it's genuinely busiest busy people find time everything|16|24
10:31 PM - 3 Dec 2015|Which favorite song movie #Dilwale #ChartbusterDilwaleAlbum @iamsrk @Varun_dvn @kritisanon|85|122
3:25 PM - 3 Dec 2015|Fawad Guitar LOVE pic twitter com 4I5xNFhhJC|5|2
7:50 PM - 3 Dec 2015|Excited Dilwale release Rohit Shetty says sequel cards http bit ly 1PCrOqf|24|28
8:50 PM - 3 Dec 2015|They cute https twitter com KKKG_TUMBLR status 672094646068187136|1|0
8:46 PM - 3 Dec 2015|The Government Media Bureau Fake Modi Photo Has Turned Into A Hilarious Meme http bzfd 1HJO6Dz pic twitter com X0nDIU0eHL|53|31
7:35 PM - 3 Dec 2015|Unbelievable levels WTF pic twitter com sL6S24LSoy|699|309
1:06 PM - 3 Dec 2015|Very short I love part #FawadKhan pic twitter com XugPQI5cKa|9|27
8:49 AM - 3 Dec 2015|THAT LAUGH #FawadKhan pic twitter com wnDWi8X1QN|10|15
8:50 AM - 3 Dec 2015|FAV PIC D #FawadKhan pic twitter com DEwE1scOOi|11|21
10:57 AM - 3 Dec 2015|GoodNight sweet dreams Yuvraj Vikram Singh Rathore @_fawadakhan_ @Disnykhoobsurat @sabtau @TeamFawadAKhan pic twitter com jqdUMYio3n|8|19
10:24 AM - 3 Dec 2015|#Tapal next level #FawadKhan pic twitter com A3a4yYs6Lf|25|50
10:01 AM - 3 Dec 2015|Annnnnnnnd posted Fb #FawadKhan pic twitter com KxvL9kPYf5|5|16
8:41 AM - 3 Dec 2015|#AllIWantIs #FawadKhan tweet|2|2
6:03 AM - 3 Dec 2015|Thank You Everyone Since I couldn't fit 140 @IsaacVivek pic twitter com NjLOwTiAfA|20|28
7:30 AM - 3 Dec 2015|What cutest thing AbRam Read http bit ly 1XB65TJ pic twitter com MgmjFpmNXq|101|339
5:08 AM - 3 Dec 2015|Vintage Magic know @iamsrk kajol Hear janam janam dilwaale https www youtube com watch v Z9S72lKj_Bw|254|182
4:30 AM - 3 Dec 2015|If style name sure would Fawad Afzal Khan #Giovani #FawadKhan #GiovaniMan pic twitter com sQowHH5PaM|15|17
4:30 AM - 3 Dec 2015|Single man desperate need love affection pic twitter com E84m14HtxJ|6|7
4:17 AM - 3 Dec 2015|Did Sushma Swaraj say something intolerance They sending Pakistan|54|43
3:36 AM - 3 Dec 2015|@iamsrk @KajolAtUN @SRKUniverse @iamsirAMIT @sheeba_desai @MayankTandon115 differnce Magic Love #JanamJanam pic twitter com EcyfSxvD6z|50|45
4:24 AM - 3 Dec 2015|Reportedly @iamsrk Kangana Ranaut come together Anand L Rai's next pic twitter com elxjJxw7pd|209|301
4:16 AM - 3 Dec 2015|#JanamJanam @iamsrk-@KajolAtUN's #Dilwale 'melt heart' See http indiatoday intoday story janam-janam-this-still-of-srk-kajol-from-dilwale-will-remind-you-of-raj-kapoor-nargis-in-shree-420 1 537698 html pic twitter com Lg8U5VTQwc|123|142
4:15 AM - 3 Dec 2015|Then Now - Ranbir Kapoor parents Neetu @chintskap pic twitter com ffhXhuVR9r|75|220
3:58 AM - 3 Dec 2015|Make Some Noise For Our Avi From #KapoorAndSons Avinash Kapoor Come Soon 2016 Please Love His Look|4|3
2:59 AM - 3 Dec 2015|#Dilwale's #JanamJanam All #Rains #Romance @iamsrk-@KajolAtUN's #Magic - https goo gl 2zGaQ6 pic twitter com vBEatgduOF|4|3
9:12 PM - 2 Dec 2015|Nat Geo installed 20 infrared cameras Mulund track movement Leopards It's freaky close us pic twitter com DIFkkXENGy|212|117
1:02 AM - 3 Dec 2015|Dilwale Shah Rukh Khan makes British journalists go LOL wit charm- watch video http bit ly 1launmu|41|40
12:12 AM - 3 Dec 2015|For theme song film Hope u like https twitter com sonymusicindia status 672325718030852096|3.4K|6.7K
9:45 PM - 2 Dec 2015|They try warn nicely pic twitter com CzFpWhpjmr|221|124
7:54 PM - 2 Dec 2015|Mumbaikars remember 26 7 This guy tried change things He failed You worry https www facebook com rishia1 posts 10153753928034257 h @DilawarTalkies|67|34
9:38 PM - 2 Dec 2015|#dilwaales jet hopping promotional stint london pic twitter com benvetzn1U|193|265
7:45 PM - 2 Dec 2015|@RanveerOfficial Super Mario called wants outfit back pic twitter com fL53GTlOKy|22|31
8:38 PM - 2 Dec 2015|Hindu Muslim Bhai Bhai Except Fawad Khan #CannotBroZone This quote stuck head madly Indians love FK|6|9
10:41 AM - 2 Dec 2015|OMG Shark Tez's studio P pic twitter com JH3Ng22us3|34|21
10:55 AM - 2 Dec 2015|May God look brothers sisters Chennai Nature fury strong may strength fight Insha Allah|5K|8.6K
10:14 AM - 2 Dec 2015|#SRK #ShahRukhKhan #Kajol BBC Asian network studios today #Diwale pic twitter com pNrdgpeBWF|154|183
10:16 AM - 2 Dec 2015|A little glimpse #Kapoorandsons Avinash Kapoor aka Fawad Khan pic twitter com EyDavh3F6v|43|80
10:26 AM - 2 Dec 2015|He's neglecting health scares big time|1|0
10:21 AM - 2 Dec 2015|SRK needs rest He's straining much man He's giving ten interviews like one day|2|0
9:12 AM - 1 Dec 2015|A smile u https twitter com piali_ghosh status 671737832151449600|10|32
9:53 AM - 2 Dec 2015|OMG I going die @_fawadakhan_ look Kapoor Sons pic twitter com fChEu0TIDn|21|53
9:51 AM - 2 Dec 2015|@imeandmyzelf @Reema_dsouza123 feel fawad add dimensions n make fab #ImtiazAli pls work #FawadKhan pls|3|2
9:14 AM - 2 Dec 2015|Dear bollywood Directors plz cast Romantic Movie #FawadKhan #KritiSanon #LovelyPair pic twitter com gAbnj5493X|4|6
5:51 AM - 2 Dec 2015|much respect @Actor_Siddharth getting selflessly helping people #ChennaiFloods Real life Rang De Basanti|828|481
