4:21 PM - 1 Dec 2015|Updated Top Four Iowa sitting nude kitchen counter eating chips telling embarrassing stories friends|40|73
3:21 PM - 1 Dec 2015|Our @DaveRevsine talks @B1Gfootball Coach Year @HawkeyeFootball's Kirk Ferentz http snpy tv 1Innf05|48|97
3:16 PM - 1 Dec 2015|Coach Ferentz recognized #B1G Coaches Media Conference Coach Year #Hawkeyes pic twitter com GmAFRMhwex|516|847
8:50 PM - 30 Nov 2015|Only @Browns pic twitter com IxMOWdAg0m|7.1K|7.1K
3:34 PM - 30 Nov 2015|Congratulations CB Desmond King named 2015 #B1G Tatum-Woodson Defensive Back Year #Hawkeyes pic twitter com pZkcgL3lUK|357|776
9:39 PM - 29 Nov 2015|Why isn't Kobe retiring finishing 2015-16 season There's much beauty pain thing|370|454
6:30 PM - 29 Nov 2015|Meanwhile Iowa city pic twitter com 7jCS2O5jQi|159|388
1:12 PM - 29 Nov 2015|Legends https twitter com joekettman status 671073884318265345|33|84
9:17 AM - 29 Nov 2015|Next stop #kinnickiapolis #MSUvsIOWA #B1GFCG #Hawkeyes @NickLemkau pic twitter com IQFllIGfrU|3|7
7:35 PM - 28 Nov 2015|If can't handle Sixers don't deserve Warriors|1.2K|1.5K
11:01 AM - 28 Nov 2015|All 4 traveling back home Iowa City #Hawkeyes pic twitter com rjMgj3MRDC|823|1.2K
2:15 PM - 27 Nov 2015|Factually incorrect sign #IOWAvsNEB 2015 Iowa corn averaged 189 bushels acre Nebraska 187 #Hawkeyes #Huskers pic twitter com 528WKmyYgf|1.5K|1.5K
4:38 PM - 27 Nov 2015|Let's go Hawks Clear bell 4th Quarter Thank Hawk Fans Stay #Attack|244|1.2K
4:06 PM - 27 Nov 2015|@TheIowaHawkeyes everything @Huskers want A tough physical team built around run stopping run doesn't beat|38|55
4:10 PM - 27 Nov 2015|The Hawkeyes suck losing|2|6
2:00 PM - 27 Nov 2015|Pumping crowd hitting guy head Nebraska football|75|117
12:08 PM - 26 Nov 2015|Happy Thanksgiving 2 us pic twitter com l1ltIPbVbT|13K|18K
5:47 PM - 24 Nov 2015|Iowa's windmills it's CFP ranking pic twitter com Xijd6goCcs|38|69
2:12 PM - 24 Nov 2015|Congratulations CB Desmond King named finalist 2015 @jimthorpeaward #Hawkeyes http snpy tv 1YsEEbI|1.4K|1.5K
8:43 AM - 24 Nov 2015|Getting bumped acceptable plan running half hour Rocky-esque montage @HawkeyeFootball https twitter com stevebraband status 669192413991321600|48|140
8:41 AM - 24 Nov 2015|@CFBPlayoff If Iowa beats SI cover jinx Nebraska week put #1|10|29
8:37 AM - 24 Nov 2015|Well SI decided Iowa enough|9|24
8:29 AM - 24 Nov 2015|ESPN Hey need help SI What's ESPN Iowa won't lose SI On|42|52
1:58 PM - 23 Nov 2015|This great Read heck https twitter com PFF_College status 668881535265841152|27|62
4:28 PM - 22 Nov 2015|CORALVILLE Marriott update #Hawkeyes pic twitter com KwYHYxdnq7|234|461
1:00 PM - 22 Nov 2015|And bars Indianapolis coming You don't enough Bud Light whatever Surrender|31|89
9:24 AM - 22 Nov 2015|Nebraska lost 4 teams Iowa already beat makes ton sense https twitter com swmckewonowh status 667009480320790528|16|26
9:58 PM - 21 Nov 2015|Ferentz Films presents Happy Days #Hawkeyes https vine co v izWxu6bhTbA|316|339
9:26 PM - 21 Nov 2015|Iowa really good I don't know people hard time accepting https twitter com reinhardtssp status 668298818212003840|144|211
8:08 PM - 21 Nov 2015|Big 10 west champs http ift tt 1Yn9P8r pic twitter com FlJTuk9M75|4.4K|3.8K
3:48 PM - 21 Nov 2015|IOWA COMIN TO A TOP 4 NEAR YOU|61|133
3:49 PM - 21 Nov 2015|Iowa slides takes seat nearly breaks chair somehow doesn fall|38|83
12:17 PM - 21 Nov 2015|WELCOME TO THE TROPHY ROOM pic twitter com MtBHY9hLXz|86|132
