8:50 AM - 10 Dec 2015|Michelle Obama got grip rap game #FlotusBars pic twitter com ARwo7XivoT|5K|4.4K
6:37 PM - 29 Nov 2015|He should've killed But unfortunately would hard explain https twitter com smallville_nbd status 671155044197072896|2|3
6:36 PM - 29 Nov 2015|Oh god I legit thought Deanna walker #TheWalkingDead|126|329
6:21 PM - 29 Nov 2015|@ImBecoming Haha Right|1|1
6:17 PM - 29 Nov 2015|DENISE IS DOWN THERE WITH THE WOLVE OMG #TheWalkingDead|40|92
6:16 PM - 29 Nov 2015|Let Carol deal cra-cra kid #TheWalkingDead|1|6
6:15 PM - 29 Nov 2015|Sacrifice shitty characters 2k15 #KillCarl2k15 #KillGabriel2k15 #KillRon2k15|44|89
6:13 PM - 29 Nov 2015|Surprise cast member Don't raise blood pressure #TWDMidSeasonFinale #TWD #DemDeadz|6|10
5:57 PM - 22 Nov 2015|RT IF YOUR WATCHING #TheWalkingDead|64|34
6:11 PM - 29 Nov 2015|I actually need ad break I don't think I breathing #TWD #TheWalkingDead #TWDMidSeasonFinale|95|205
6:11 PM - 29 Nov 2015|The shit hit fan Alexandria #TheWalkingDead mid season finale Looks like kid staying room right idea|1|2
6:11 PM - 29 Nov 2015|The episode started I already suffered 6 heart attacks|232|346
8:54 AM - 29 Nov 2015|9 hours Season 6 mid season finale #TheWalkingDead tonight|6|20
8:51 AM - 29 Nov 2015|Happy TWD-DAY able watch A lot us Europe follow cast twitter Don't care spoilers pic twitter com ftcfOcfw76|23|47
6:27 PM - 28 Nov 2015|Spread word There's special after-credits scene Sunday Plz RT #TWDMidSeasonFinale #thewalkingdead #TWD pic twitter com FAWOhbmuGh|122|109
7:31 PM - 27 Nov 2015|Slain officer Garrett Swasey husband dad elder evangelical church Pray family church pic twitter com qEmDgZRVeH|1K|1.2K
7:27 AM - 26 Nov 2015|I'm trying develop efficient process solving problems assuming answer already exists I locate|51|151
9:03 AM - 22 Nov 2015|#DeadDay upon us #TWDFamily @LucilleNegan22 @TrishTWDReedus @JenInWoodbury @WWEFanDevonFox @DaiVendramin1 #TWD pic twitter com upU6gW0JvN|15|29
5:40 AM - 22 Nov 2015|Happy #TWDDay #TWDFamily #WSCAtlanta '15 #AndrewLincoln #NormanReedus #LennieJames #DanaiGurira #MelissaMcBride pic twitter com 2Bj0tkfotK|30|60
3:09 PM - 20 Nov 2015|Looks like lot fans pic twitter com XKlqIvDQ43|1|4
10:16 AM - 20 Nov 2015|JUST IN A suspicious package reported OSU campus Neil 12th Avenue Columbus Fire scene pic twitter com 6IgKi36esL|11|5
7:00 AM - 20 Nov 2015|I'm getting like best Florence The Machine vibes songs I ain't even mad #Adele25|2|1
5:05 AM - 20 Nov 2015|Snow business weather-proof boots went high fashion http trib al wHkOYJk|15|31
2:01 AM - 18 Nov 2015|Daily Steps Giving Act Worship http conta cc 1H7YMvF pic twitter com xDlPrDZa18|1|1
1:08 PM - 17 Nov 2015|Pack shoe box CHANGE life Bring boxes Cypress weekend Details http cypresschurch tv https twitter com rachelwojo status 666710017719029761|3|2
6:32 AM - 15 Nov 2015|I'm thankful negative results I've gotten clinic year Here's dodging bullets #RejectedThanksgivingToasts|3|11
6:45 AM - 15 Nov 2015|May Christian church never regarded special interest group We're love neighbor Chuck Colson #love|8|10
6:54 AM - 15 Nov 2015|G20 leaders hold minute silence terror attack victims http www itv com news update 2015-11-15 g20-leaders-hold-minute-of-silence-for-terror-attack-victims pic twitter com dh8frr4rkN|32|32
4:01 AM - 15 Nov 2015|Start week worship Join us Alton Darby 8 30 10 11 30am 6pm Dublin 10am hear God work #MoneyMyths|1|4
6:00 AM - 15 Nov 2015|Gratitude List Thankful greeters nursery volunteers tech team custodians kid check team musicians part LIFE CHANGE|1|9
5:45 AM - 15 Nov 2015|Lifting pastor @kenwmurphy @daynegowan family prayer celebrate Amanda's life today http buff ly 1OLRlwF|7|10
3:37 PM - 14 Nov 2015|The church The Church unite hearts prayer #PrayforParis https twitter com imbecoming status 665673112197996544|1|6
