11:05 AM - 28 Oct 2015|I #TravelToTaste alcohol #SorryNotSorry https twitter com tripadvisor status 659429933869957120 
10:51 AM - 28 Oct 2015|It's #NATIONALILOVEYOUDAY - sending you some lurvvvvv pic twitter com 6Mm9DXTosR 
10:10 AM - 28 Oct 2015|I'll be joining the @TripAdvisor #TravelToTaste chat in an hour- my stomach can't wait https twitter com tripadvisor status 659414333869326337 
10:01 AM - 28 Oct 2015|Happy #WanderlustWednesday #Bali @ Bali https instagram com p 9Y4-56gSTG 
8:33 PM - 27 Oct 2015|Tuesday in Beverly Hills means getting styled and made up- I could get used to this @BrightonSalon @Oxygenetix pic twitter com nKhmdoNy29 
4:45 PM - 27 Oct 2015|Big Ben and other landmarks like you've never seen them before check it out http ow ly TUFaY #TravelTuesday pic twitter com Q72RSFFu7h 
10:14 AM - 27 Oct 2015|Does anyone else wake up w swollen lips #NotComplainingTho pic twitter com iMwOjW4TpU 
9:44 AM - 27 Oct 2015|So this is what it feels like to be a millionaire -- 3x over #OnlyInBali By the way 3 000 000 https instagram com p 9WSKQpgSWm 
5:01 PM - 26 Oct 2015|I got Water on Mars - your turn Which 2015 Thing Should You be for Halloween http ow ly TRv02 @BuzzFeed 
11:49 AM - 26 Oct 2015|Beverly Hills needs to be to this list I love running in my neighborhood - 3 American Cities Made for Running http ow ly TRtB8 
4:04 PM - 25 Oct 2015|Thanks for all the help you guys-- the yellow was a hit last night 
9:45 PM - 24 Oct 2015|Yellow or White pic twitter com qhtxS4kPA6 
10:23 PM - 23 Oct 2015|I had so much fun hosting the Fall-Holiday Launch for #LaTravelMagazine - pick up a copy pic twitter com 1exLp1BD3V 
6:40 PM - 23 Oct 2015|Friday night yoga #NailedIt pic twitter com yFEk2QVzie 
12:42 PM - 23 Oct 2015|Punta Mita is one of my fave places in the world My heart thoughts prayers r with those in #Patricia's path pic twitter com JewD02aHZN 
12:30 PM - 23 Oct 2015|'Cause everybody loves a good sunset http ow ly TMdp5 #sunset 
2:14 PM - 22 Oct 2015|Having great taste doesn't make you a nerd https twitter com AndreaFeczko status 657303291747917824 
4:35 PM - 22 Oct 2015|How to Make the Best Margarita- San Jose Del Cabo Mexico http ow ly TIVlX #Travel @how2travelers pic twitter com 94m5vRrdY8 
2:11 PM - 22 Oct 2015|I just saw the #PrideAndPrejudiceAndZombies trailer and immediately ordered the book 1-10 How big of a nerd am I @sethgs 
8:24 AM - 22 Oct 2015|LA's hidden gems http ow ly TIUyM #ThingsToDoInLA @BuzzFeed 
5:05 PM - 21 Oct 2015|What are you going to be for Halloween 
8:36 AM - 21 Oct 2015|Just responded 2 a bunch of comments on my new travel tip vid-luv hearing abt ur must-haves http bit ly 1kmO2PF pic twitter com PoSlPrCgXb 
8:19 AM - 21 Oct 2015|I think Marty McFly would approve #BackToFutureDay #BTTF2015 pic twitter com WdS44W5g6g 
7:29 PM - 20 Oct 2015|The Monkey Forest in Ubud is legit #TravelTuesday @ Ubud Bali https instagram com p 9E8lQHgSdg 
3:30 PM - 20 Oct 2015|Travel Tip- Must Haves to Pack for International Travel http ow ly TDu6e #TravelTuesday pic twitter com IvlYNzM0Qj 
10:31 AM - 20 Oct 2015|Me vs Jetlag - no amount of white makeup can hide the disdain behind my eyes that I want to go back to bed #HostLife pic twitter com X6IWUhbzqX 
8:05 PM - 19 Oct 2015|This is me waiting for my girlfriends to get ready I already told them they look gorgeous #ICouldNeverBeAGuy pic twitter com rdENyLMpCn 
6:48 PM - 19 Oct 2015|It's the beginning of a new week and I'm so excited to show you a new place The Monkey Forest in https instagram com p 9CkunbASWZ 
5:13 PM - 19 Oct 2015|Is anyone else's office going crazy with #StarWarsTheForceAwakens tix going on sale 
6:15 AM - 19 Oct 2015|Sunset on a beautiful week Thanks for all the love https instagram com p 9AgytlgSea 
2:32 PM - 18 Oct 2015|Congrats to @shiralazar for taking the only sober pic from my bday https twitter com shiralazar status 655238152513191936 
1:32 PM - 18 Oct 2015|Test drove the brand new @toyota #Mirai that emits WATER So cool This is the future #hybrid #gogreen pic twitter com WH4FfZmdWr 
9:34 PM - 17 Oct 2015|Bdays are meant for lounging Taking on this next year with focus perspective and hopefully with https instagram com p 89yh_sAScR 
8:35 PM - 17 Oct 2015|This sums up my bday celebrations pic twitter com czZQuWdllX 
5:42 PM - 17 Oct 2015|Today I am officially another year older But I lost my ID so I have no proof of it Oh the irony 
4:30 PM - 16 Oct 2015|Its an awesome time to be a woman http ow ly TuxTs @Variety #PowerofWomen 
12:45 PM - 16 Oct 2015|The amount of garlic I ate during lunch means I'm safe from vampires for at least a good two weeks 
10:32 AM - 16 Oct 2015|I hear flowers are edible #flashbackfriday #MyBaliStory https instagram com p 854EjEASfv 
9:18 AM - 16 Oct 2015|I'm OBSESSED with minions It should be no surprise I peed my pants after this picture #SquadGoals #Halloween pic twitter com ge8N7evMWX 
3:13 PM - 15 Oct 2015|Today is #NationalPugDay My stuffed pug Winston and I say boo yah to the best holiday ever created pic twitter com pqj2yQ6ZPv 
1:59 PM - 15 Oct 2015|This was not a bad office for the day #Tbt #Bali pic twitter com IZ4kF0AUwa 
8:28 AM - 15 Oct 2015|Taught such an inspiring class @BecomeAHost yest Thanks for the positive energy and hard work https twitter com thebesstyle status 654537510647803904 
8:18 AM - 15 Oct 2015|Eating salad for breakfast I should get points in heaven for this pic twitter com oMQgcV6d6K 
5:25 PM - 14 Oct 2015|My bday is in a few days- I thoroughly plan to act my shoe size and not my age- wait what pic twitter com f9IUCfBuwK 
5:02 PM - 14 Oct 2015|A swing with a view in perfect 80 degree weather Yeah I could get used to this #MyBaliStory https instagram com p 81JypygScn 
8:44 AM - 13 Oct 2015|Technical difficulties on set mean I have time to perfect my Blue Steel pic twitter com 0HCoxDI1Yu 
8:56 PM - 12 Oct 2015|It's been a crazy year and sometimes the motivation you need for a Monday is just to relax and enjoy https instagram com p 8w3BsLgSYO 
6:10 PM - 12 Oct 2015|Love this insightful @TedTalks on The Value of Thoughtful Travel http ow ly TjojS 
12:58 PM - 12 Oct 2015|Birthdays are out-- it's all about the week pic twitter com MW9umiBYOH 
8:34 PM - 11 Oct 2015|Big thanks to @TourismFiji for inviting me to #FijiFashionWeek - now that I have the outfit-- can't wait to go pic twitter com 3utQ5dVk2U 
5:36 PM - 11 Oct 2015|#SelfieSunday Working those bright tropical vibes front row at #fijifashionweek @Keldotco pic twitter com Hmd9k1igGE 
5:09 PM - 11 Oct 2015|At the #fijifashionshow-- best place for a single girl #MoreLegPlease #LAFW pic twitter com Xv5Rt9uzuM 
12:05 PM - 11 Oct 2015|#SelfieSunday photobomb edition -- can't wait for this video to be live #Ultrabali pic twitter com RvKR82Bmcy 
1:15 PM - 10 Oct 2015|I LOVE my job but man sometimes it looks like I'm going to battle #ultralive pic twitter com B6sHkzMLeA 
11:02 AM - 10 Oct 2015|Do they make Birthday Cake Oreo Cakes #SeriousQuestion #AskingForAFriend #ThatFriendIsMe 
5:20 PM - 9 Oct 2015|Typical @daddyissues_ pic twitter com Iqcw1nBpqH 
11:06 AM - 9 Oct 2015|Does anyone else lose weight when they're in hot climates #BaliDoesTheBodyGood pic twitter com 34toFOAlwU 
10:52 AM - 9 Oct 2015|I am eating a Bean Puff Can't decide whether this is the worst or best name ever pic twitter com 3zHpqQKqo9 
10:17 PM - 8 Oct 2015|Love to celebrate #DopeWomen who are also the BOSS Congrats Alyssa @DOPE @RiotMediagrp pic twitter com JVko3vnxti 
8:24 PM - 8 Oct 2015|Big thx to @edmphotosworld for taking some breathtaking shots in #Bali #ThrowbackThursday https instagram com p 8mgBE_ASfY pic twitter com qrHGlaCdDj 
4:00 PM - 8 Oct 2015|Summer's over- so it's definitely time for a vacation Here are some cool ideas #travel http ow ly Tbtxj @Mashable 
12:46 PM - 8 Oct 2015|Epic Electric Bike Brunch http ow ly TbtiD #Travel @how2travelers pic twitter com oUexdjJ5zB 
12:00 PM - 8 Oct 2015|Am I going to work @theqyou this morning or for @nickyromero - my outfit wants to know #protocolswag pic twitter com dtKSCGSsjI 
5:45 PM - 7 Oct 2015|Listen up kids #LifeLessons pic twitter com dkEGRqg6mV 
12:33 PM - 7 Oct 2015|Robot Restaurant was by FAR the highlight of my Tokyo trip- big thx to @justinohmusic for arranging Vid coming soon pic twitter com 00sodjH4oD 
11:33 AM - 7 Oct 2015|The highlight of Ultra Beach Bali for me was not only interviewing @kygomusic but also dancing to his https instagram com p 8hkYslgSX2 
4:35 PM - 6 Oct 2015|DO NOT PISS OFF THE HAIR MAKEUP ARTIST 200F is nothing to play with #WordsofWisdom #TVHost @BowmanMakeup pic twitter com xfhUulQEOE 
3:26 PM - 5 Oct 2015|Hey @AndreaFeczko I'm doing 24 hours of space lectures for charity 22 Oct you can watch it online here http markthompsonastronomy cleeng com mark-thompson-s-24-hour-space-spectacular E616997358_GB _ga 1 250129414 1269710374 1444073943 please RT 
11:25 AM - 6 Oct 2015|Ziplining- Go or No http ow ly T5vEp #TravelTuesday pic twitter com i818QIwHUV 
3:25 PM - 5 Oct 2015|Me likey my makeup today- thanks @BowmanMakeup pic twitter com 9LA4tq5AZB 
11:14 AM - 5 Oct 2015|The REAL F word pic twitter com DKtFjszA23 
8:05 PM - 4 Oct 2015|Now THIS is a Batmobile Holy Crap #ButWhereDoISit pic twitter com BSikEN26u7 
12:10 PM - 4 Oct 2015|Mindy Kaling gets me #SoulSisters pic twitter com 8imE7en3CU 
